,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle,isDuplicate,groupIndex,probeId,probeName,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,numMeasVoltage,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,profTxVoltageVolt,zMeasNum
28,B,1,1,13,1,3.0,37,2.0,0,0,0,0,,1,,1.0,4,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,1,20,3076900,56.04,45.0
29,B,1,1,13,1,4.0,42,2.0,0,0,0,0,,1,,1.0,4,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,1,20,3076900,56.04,75.0
30,B,1,1,13,1,6.0,44,2.0,0,0,0,0,,1,,1.0,4,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,1,20,3076900,56.04,75.0
31,B,1,1,13,1,8.0,46,2.0,0,0,0,0,,1,,1.0,4,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,1,20,3076900,56.04,115.0
32,B,1,1,15,1,0.5,5,2.0,0,0,0,0,,1,,1.0,5,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,1,20,3636400,56.04,45.0
33,B,1,1,15,1,1.0,9,2.0,0,0,0,0,,1,,1.0,5,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,1,20,3636400,56.04,45.0
34,B,1,1,15,1,1.5,14,2.0,0,0,0,0,,1,,1.0,5,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,1,20,3636400,56.04,45.0
35,B,1,1,15,1,2.0,19,2.0,0,0,0,0,,1,,1.0,5,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,1,20,3636400,56.04,45.0
36,B,1,1,15,1,3.0,32,2.0,0,0,0,0,,1,,1.0,5,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,1,20,3636400,56.04,45.0
37,B,1,1,15,1,4.0,42,2.0,0,0,0,0,,1,,1.0,5,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,1,20,3636400,56.04,75.0
38,B,1,1,15,1,6.0,44,2.0,0,0,0,0,,1,,1.0,5,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,1,20,3636400,56.04,75.0
39,B,1,1,15,1,8.0,46,2.0,0,0,0,0,,1,,1.0,5,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,1,20,3636400,56.04,115.0
40,B,1,1,15,1,0.5,8,2.0,1,0,0,0,,1,,0.0,6,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,1,0,3636400,56.04,45.0
41,B,1,1,15,1,1.0,17,2.0,1,0,0,0,,1,,0.0,6,11014154,5P1,90,90,20,0.5,0,2024-06-19,Beamstyle_5P1_Intensity,10,1,0,3636400,56.04,45.0
