measSetComments,probeId,BeamStyleIndex,bsIndexTrace,TxFrequencyHz,TxFocusLocCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,ProbeNumTxCycles,elevAperIndex,zStartDistCm,zMeasNum,IsTxChannelModulationEn,dumpSwVersion,DTxFreqIndex,VTxIndex,IsPresetCpaEn,TxPulseRle,SystemPulserSel,CpaDelayOffsetClk,zt_est
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,1.0,90,90,81.34,90,90,13,2,1.5,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,2.5
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,1.5,90,90,81.34,90,90,20,2,1.5,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,2.2
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,2.0,90,90,81.34,90,90,26,2,1.5,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,1.9
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,3.0,90,90,81.34,90,90,40,2,1.5,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,2.1
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,4.0,90,90,81.34,90,90,45,2,1.5,0,0.5,75.0,0,1st,0,1,0,0.0,0,0,2.1
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,6.0,90,90,81.34,90,90,49,2,1.5,0,0.5,75.0,0,1st,0,1,0,0.0,0,0,2.3
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,8.0,90,90,81.34,90,90,50,2,1.5,0,0.5,115.0,0,1st,0,1,0,0.0,0,0,2.3
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,0.5,90,90,81.34,90,90,7,2,2.0,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,1.8
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,1.0,90,90,81.34,90,90,13,2,2.0,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,2.0
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,1.5,90,90,81.34,90,90,20,2,2.0,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,2.0
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,2.0,90,90,81.34,90,90,26,2,2.0,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,2.3
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,3.0,90,90,81.34,90,90,40,2,2.0,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,2.5
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,4.0,90,90,81.34,90,90,45,2,2.0,0,0.5,75.0,0,1st,0,1,0,0.0,0,0,1.8
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,6.0,90,90,81.34,90,90,49,2,2.0,0,0.5,75.0,0,1st,0,1,0,0.0,0,0,2.0
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,8.0,90,90,81.34,90,90,50,2,2.0,0,0.5,115.0,0,1st,0,1,0,0.0,0,0,1.0
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,0.5,90,90,81.34,90,90,7,1,1.5,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,1.0
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,1.0,90,90,81.34,90,90,15,1,1.5,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,1.1
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,1.5,90,90,81.34,90,90,23,1,1.5,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,1.1
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,2.0,90,90,81.34,90,90,30,1,1.5,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,1.1
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,3.0,90,90,81.34,90,90,46,1,1.5,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,1.0
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,4.0,90,90,81.34,90,90,53,1,1.5,0,0.5,75.0,0,1st,0,1,0,0.0,0,0,1.2
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,6.0,90,90,81.34,90,90,57,1,1.5,0,0.5,75.0,0,1st,0,1,0,0.0,0,0,2.5
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,8.0,90,90,81.34,90,90,59,1,1.5,0,0.5,115.0,0,1st,0,1,0,0.0,0,0,2.6
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,0.5,90,90,81.34,90,90,7,1,2.0,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,1.1
Beamstyle_4DVE_Intensity,11575444,1,20,2857100,1.0,90,90,81.34,90,90,15,1,2.0,0,0.5,45.0,0,1st,0,1,0,0.0,0,0,1.2
