measSetComments,probeId,BeamStyleIndex,bsIndexTrace,TxFrequencyHz,TxFocusLocCm,maxTxVoltageVolt,ceilTxVoltageVolt,profTxVoltageVolt,totalVoltagePt,numMeasVoltage,NumTxElements,TxpgWaveformStyle,ProbeNumTxCycles,elevAperIndex,zStartDistCm,zMeasNum,IsTxChannelModulationEn,dumpSwVersion,DTxFreqIndex,VTxIndex,IsPresetCpaEn,TxPulseRle,SystemPulserSel,CpaDelayOffsetClk,zt_est,zt,Diff
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,4,90,90,56.04,20,8,45,2,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.2,1.6,-0.6
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,6,90,90,56.04,20,8,49,2,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.7,1.6,-1.1
Beamstyle_4DVE_Intensity,11575444,0,15,6153800,8,90,90,56.04,20,8,50,2,2,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.9,1.7,-1.2
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,0.5,90,90,56.04,20,8,7,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.8,2.2,-0.6
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,1,90,90,56.04,20,8,13,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.5,2.1,-0.4
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,1.5,90,90,56.04,20,8,20,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.2,1.9,-0.3
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,2,90,90,56.04,20,8,26,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.9,1.8,-0.1
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,3,90,90,56.04,20,8,40,2,1.5,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.1,1.8,-0.3
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,4,90,90,56.04,20,8,45,2,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.1,1.9,-0.2
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,6,90,90,56.04,20,8,49,2,1.5,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2.3,1.8,-0.5
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,8,90,90,56.04,20,8,50,2,1.5,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,2.3,1.9,-0.4
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,0.5,90,90,56.04,20,8,7,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,1.8,2.3,0.5
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,1,90,90,56.04,20,8,13,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2,2,0
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,1.5,90,90,56.04,20,8,20,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2,1.8,-0.2
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,2,90,90,56.04,20,8,26,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.3,1.7,-0.6
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,3,90,90,56.04,20,8,40,2,2,0,0.5,45,0,1st_LUT,0,1,0,0,0,0,2.5,1.8,-0.7
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,4,90,90,56.04,20,8,45,2,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,1.8,1.7,-0.1
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,6,90,90,56.04,20,8,49,2,2,0,0.5,75,0,1st_LUT,0,1,0,0,0,0,2,1.8,-0.2
Beamstyle_4DVE_Intensity,11575444,0,15,7272700,8,90,90,56.04,20,8,50,2,2,0,0.5,115,0,1st_LUT,0,1,0,0,0,0,1,1.8,0.8
