,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle,isDuplicate,groupIndex,probeId,probeName,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,numMeasVoltage,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,profTxVoltageVolt,zMeasNum
34,B,3,1,5,1,6,65,2.0,1,0,0,0,,1,,0,5,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1538500,56.04,75.0
35,B,3,1,5,1,8,87,2.0,1,0,0,0,,1,,0,5,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1538500,56.04,115.0
36,B,3,1,5,1,10,96,2.0,1,0,0,0,,1,,0,5,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1538500,56.04,135.0
37,B,3,1,5,1,12,96,2.0,1,0,0,0,,1,,0,5,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1538500,56.04,135.0
38,B,3,1,5,1,15,96,2.0,1,0,0,0,,1,,0,5,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1538500,56.04,135.0
39,B,3,1,5,1,18,96,2.0,1,0,0,0,,1,,0,5,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1538500,56.04,135.0
40,B,3,1,7,1,2,30,2.0,0,1,0,0,,1,,0,6,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,45.0
41,B,3,1,7,1,4,44,2.0,0,1,0,0,,1,,0,6,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,75.0
42,B,3,1,7,1,6,60,2.0,0,1,0,0,,1,,0,6,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,75.0
43,B,3,1,7,1,8,64,2.0,0,1,0,0,,1,,0,6,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,115.0
44,B,3,1,7,1,10,70,2.0,0,1,0,0,,1,,0,6,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,135.0
45,B,3,1,7,1,12,70,2.0,0,1,0,0,,1,,0,6,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,135.0
46,B,3,1,7,1,15,70,2.0,0,1,0,0,,1,,0,6,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,135.0
47,B,3,1,7,1,18,70,2.0,0,1,0,0,,1,,0,6,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,135.0
48,B,2,1,7,1,2,30,2.0,0,0,0,0,,1,,1,7,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,45.0
49,B,2,1,7,1,4,44,2.0,0,0,0,0,,1,,1,7,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,75.0
50,B,2,1,7,1,6,60,2.0,0,0,0,0,,1,,1,7,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,75.0
51,B,2,1,7,1,8,64,2.0,0,0,0,0,,1,,1,7,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,115.0
52,B,2,1,7,1,10,70,2.0,0,0,0,0,,1,,1,7,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,135.0
53,B,2,1,7,1,12,70,2.0,0,0,0,0,,1,,1,7,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,135.0
54,B,2,1,7,1,15,70,2.0,0,0,0,0,,1,,1,7,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,135.0
55,B,2,1,7,1,18,70,2.0,0,0,0,0,,1,,1,7,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,135.0
56,B,3,1,7,1,2,30,2.5,0,1,0,0,,1,,0,8,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,45.0
57,B,3,1,7,1,4,44,2.5,0,1,0,0,,1,,0,8,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,75.0
58,B,3,1,7,1,6,60,2.5,0,1,0,0,,1,,0,8,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,75.0
59,B,3,1,7,1,8,64,2.5,0,1,0,0,,1,,0,8,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,115.0
60,B,3,1,7,1,10,70,2.5,0,1,0,0,,1,,0,8,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,135.0
61,B,3,1,7,1,12,70,2.5,0,1,0,0,,1,,0,8,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,135.0
62,B,3,1,7,1,15,70,2.5,0,1,0,0,,1,,0,8,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,135.0
63,B,3,1,7,1,18,70,2.5,0,1,0,0,,1,,0,8,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,0,1818200,56.04,135.0
64,B,2,1,7,1,2,30,2.5,0,0,0,0,,1,,1,9,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,45.0
65,B,2,1,7,1,4,44,2.5,0,0,0,0,,1,,1,9,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,75.0
66,B,2,1,7,1,6,60,2.5,0,0,0,0,,1,,1,9,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,75.0
67,B,2,1,7,1,8,64,2.5,0,0,0,0,,1,,1,9,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,115.0
68,B,2,1,7,1,10,70,2.5,0,0,0,0,,1,,1,9,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,135.0
69,B,2,1,7,1,12,70,2.5,0,0,0,0,,1,,1,9,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,135.0
70,B,2,1,7,1,15,70,2.5,0,0,0,0,,1,,1,9,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,135.0
71,B,2,1,7,1,18,70,2.5,0,0,0,0,,1,,1,9,11014154,5P1,90,90,20,0.5,0,2024-06-21,Beamstyle_5P1_Intensity,10,1,20,1818200,56.04,135.0
