,index,PROBENAME,MODE,SUBMODEINDEX,BEAMSTYLEINDEX,SYSTXFREQINDEX,TXPGWAVEFORMSTYLE,TXFOCUSLOCCM,NUMTXELEMENTS,PROBENUMTXCYCLES,ISTXCHANNELMODULATIONEN,ISPRESETCPAEN,CPADELAYOFFSETCLK,TXPULSERLE,TXPGWAVEFORMLUT,ELEVAPERINDEX,SYSTEMPULSERSEL,VTXINDEX
45,336,14L5,Cb,0,5,28,1,2.25,38,3.0,0,0,0,0,0.0,1,0,0
46,337,14L5,Cb,0,5,28,1,3.5,58,3.0,0,0,0,0,0.0,1,0,0
47,338,14L5,Cb,0,5,28,1,5.25,88,3.0,0,0,0,0,0.0,1,0,0
48,307,14L5,Cb,0,5,22,1,0.25,4,4.0,0,0,0,0,0.0,0,0,0
49,308,14L5,Cb,0,5,22,1,0.5,8,4.0,0,0,0,0,0.0,0,0,0
50,309,14L5,Cb,0,5,22,1,0.75,13,4.0,0,0,0,0,0.0,0,0,0
51,310,14L5,Cb,0,5,22,1,1.0,17,4.0,0,0,0,0,0.0,1,0,0
52,311,14L5,Cb,0,5,22,1,1.5,25,4.0,0,0,0,0,0.0,1,0,0
53,312,14L5,Cb,0,5,22,1,2.25,38,4.0,0,0,0,0,0.0,1,0,0
54,313,14L5,Cb,0,5,22,1,3.5,58,4.0,0,0,0,0,0.0,1,0,0
55,314,14L5,Cb,0,5,22,1,5.25,88,4.0,0,0,0,0,0.0,1,0,0
56,315,14L5,Cb,0,5,24,1,0.25,4,4.0,0,0,0,0,0.0,0,0,0
57,316,14L5,Cb,0,5,24,1,0.5,8,4.0,0,0,0,0,0.0,0,0,0
58,317,14L5,Cb,0,5,24,1,0.75,13,4.0,0,0,0,0,0.0,0,0,0
59,318,14L5,Cb,0,5,24,1,1.0,17,4.0,0,0,0,0,0.0,1,0,0
60,319,14L5,Cb,0,5,24,1,1.5,25,4.0,0,0,0,0,0.0,1,0,0
61,320,14L5,Cb,0,5,24,1,2.25,38,4.0,0,0,0,0,0.0,1,0,0
62,321,14L5,Cb,0,5,24,1,3.5,58,4.0,0,0,0,0,0.0,1,0,0
63,322,14L5,Cb,0,5,24,1,5.25,88,4.0,0,0,0,0,0.0,1,0,0
64,403,14L5,Cb,0,5,26,1,0.5,8,4.0,0,0,0,0,0.0,0,0,0
65,404,14L5,Cb,0,5,26,1,0.75,13,4.0,0,0,0,0,0.0,0,0,0
66,405,14L5,Cb,0,5,26,1,1.0,17,4.0,0,0,0,0,0.0,1,0,0
67,406,14L5,Cb,0,5,26,1,1.5,25,4.0,0,0,0,0,0.0,1,0,0
68,407,14L5,Cb,0,5,26,1,2.25,38,4.0,0,0,0,0,0.0,1,0,0
69,408,14L5,Cb,0,5,26,1,3.5,58,4.0,0,0,0,0,0.0,1,0,0
70,409,14L5,Cb,0,5,26,1,5.25,88,4.0,0,0,0,0,0.0,1,0,0
71,410,14L5,Cb,0,5,26,1,7.0,117,4.0,0,0,0,0,0.0,1,0,0
72,411,14L5,Cb,0,5,28,1,0.5,8,4.0,0,0,0,0,0.0,0,0,0
73,412,14L5,Cb,0,5,28,1,0.75,13,4.0,0,0,0,0,0.0,0,0,0
74,413,14L5,Cb,0,5,28,1,1.0,17,4.0,0,0,0,0,0.0,1,0,0
75,414,14L5,Cb,0,5,28,1,1.5,25,4.0,0,0,0,0,0.0,1,0,0
76,415,14L5,Cb,0,5,28,1,2.25,38,4.0,0,0,0,0,0.0,1,0,0
77,416,14L5,Cb,0,5,28,1,3.5,58,4.0,0,0,0,0,0.0,1,0,0
78,417,14L5,Cb,0,5,28,1,5.25,88,4.0,0,0,0,0,0.0,1,0,0
79,418,14L5,Cb,0,5,28,1,7.0,117,4.0,0,0,0,0,0.0,1,0,0
80,48,14L5,B,1,1,17,0,0.25,6,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,0,0,1
81,49,14L5,B,1,1,17,0,0.5,13,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,0,0,1
82,50,14L5,B,1,1,17,0,0.75,19,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,0,0,1
83,51,14L5,B,1,1,17,0,1.0,25,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
84,52,14L5,B,1,1,17,0,1.5,38,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
85,53,14L5,B,1,1,17,0,2.25,56,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
86,54,14L5,B,1,1,17,0,3.5,88,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
87,55,14L5,B,1,1,17,0,5.25,131,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
88,158,14L5,B,1,1,17,0,7.0,175,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
89,64,14L5,B,1,1,20,0,0.25,6,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,0,0,1
90,65,14L5,B,1,1,20,0,0.5,13,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,0,0,1
