,ISTXCHANNELMODULATIONEN,PROBENUMTXCYCLES,SYSTXFREQINDEX,TXPGWAVEFORMSTYLE,TXPULSERLE,ELEVAPERINDEX,TXFOCUSLOCCM,NUMTXELEMENTS,size
96,1,1.0,20,0,1.2942:0.2058:-1.2942:0.2058,1,5.25,131,2
97,1,1.0,20,0,1.2942:0.2058:-1.2942:0.2058,1,7.0,175,2
98,1,1.0,23,0,1.3571:0.1429:-1.3571:0.1429,0,0.25,6,1
99,1,1.0,23,0,1.3571:0.1429:-1.3571:0.1429,0,0.5,13,1
100,1,1.0,23,0,1.3571:0.1429:-1.3571:0.1429,0,0.75,19,1
101,1,1.0,23,0,1.3571:0.1429:-1.3571:0.1429,1,1.0,25,1
102,1,1.0,23,0,1.3571:0.1429:-1.3571:0.1429,1,1.5,38,1
103,1,1.0,23,0,1.3571:0.1429:-1.3571:0.1429,1,2.25,56,1
104,1,1.0,23,0,1.3571:0.1429:-1.3571:0.1429,1,3.5,88,1
105,1,1.0,23,0,1.3571:0.1429:-1.3571:0.1429,1,5.25,131,1
106,1,1.0,31,2,0,0,0.25,6,2
107,1,1.0,31,2,0,0,0.5,13,2
108,1,1.0,31,2,0,0,0.75,19,2
109,1,1.0,31,2,0,1,1.0,25,2
110,1,1.0,31,2,0,1,1.5,38,2
111,1,1.0,31,2,0,1,2.25,56,2
112,1,1.0,31,2,0,1,3.5,88,2
113,1,1.0,31,2,0,1,5.25,131,2
114,1,1.0,31,2,0,1,7.0,175,1
115,1,1.29,20,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0,0.25,6,2
116,1,1.29,20,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0,0.5,13,2
117,1,1.29,20,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0,0.75,19,2
118,1,1.29,20,0,1.2942:0.2058:-1.2942:0.2058:1.2942,1,1.0,25,2
119,1,1.29,20,0,1.2942:0.2058:-1.2942:0.2058:1.2942,1,1.5,38,2
120,1,1.29,20,0,1.2942:0.2058:-1.2942:0.2058:1.2942,1,2.25,56,2
121,1,1.29,20,0,1.2942:0.2058:-1.2942:0.2058:1.2942,1,3.5,88,2
122,1,1.29,20,0,1.2942:0.2058:-1.2942:0.2058:1.2942,1,5.25,131,2
123,1,1.29,20,0,1.2942:0.2058:-1.2942:0.2058:1.2942,1,7.0,175,2
124,1,1.3,17,0,1.30:0.20:-1.30:0.20:1.30,0,0.25,6,2
125,1,1.3,17,0,1.30:0.20:-1.30:0.20:1.30,0,0.5,13,2
126,1,1.3,17,0,1.30:0.20:-1.30:0.20:1.30,0,0.75,19,2
127,1,1.3,17,0,1.30:0.20:-1.30:0.20:1.30,1,1.0,25,2
128,1,1.3,17,0,1.30:0.20:-1.30:0.20:1.30,1,1.5,38,2
129,1,1.3,17,0,1.30:0.20:-1.30:0.20:1.30,1,2.25,56,2
130,1,1.3,17,0,1.30:0.20:-1.30:0.20:1.30,1,3.5,88,2
