,measSetId,probeId,beamstyleIndex,txFrequencyHz,focusRangeCm,numTxElements,txpgWaveformStyle,numTxCycles,elevAperIndex,IsTxAperModulationEn,probeName,probePitchCm,probeRadiusCm,probeElevAperCm0,probeElevAperCm1,probeElevFocusRangCm,probeElevFocusRangCm1,measResId,zt,RankNo
2806,8718,11289565,0,4210500.0,2.0,30,1,1.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9070,4.900000095367432,1
2807,8719,11289565,0,5000000.0,2.0,30,1,1.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9073,4.699999809265137,1
2808,8720,11289565,1,2000000.0,2.0,30,1,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9077,4.5,1
2809,8721,11289565,1,2222200.0,2.0,30,1,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9079,4.300000190734863,1
2810,8722,11289565,1,2500000.0,2.0,30,1,1.5,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9082,4.300000190734863,1
2811,8723,11289565,0,2666700.0,2.0,30,1,1.5,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9084,4.300000190734863,1
2812,8724,11289565,5,2500000.0,2.0,15,1,4.0,0,0,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9086,3.700000047683716,1
2813,8725,11289565,5,3076900.0,2.0,15,1,4.0,0,0,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9092,4.0,1
2814,8726,11289565,5,3636400.0,2.0,15,1,4.0,0,0,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9093,4.199999809265137,1
2815,8727,11289565,1,2857100.0,4.800000190734863,66,1,1.5,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9096,3.700000047683716,1
2816,8728,11289565,0,3333300.0,4.800000190734863,66,1,1.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9097,3.799999952316284,1
2817,8729,11289565,0,4210500.0,4.800000190734863,66,1,1.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9100,3.799999952316284,1
2818,8731,11289565,1,2000000.0,4.800000190734863,66,1,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9104,4.199999809265137,1
2819,8732,11289565,1,2222200.0,4.800000190734863,66,1,2.0,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9107,4.0,1
2820,8733,11289565,1,2500000.0,4.800000190734863,66,1,1.5,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9108,3.700000047683716,1
2821,8734,11289565,0,2666700.0,4.800000190734863,66,1,1.5,0,1,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9111,3.799999952316284,1
2822,8735,11289565,5,2500000.0,4.800000190734863,36,1,4.0,0,0,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9112,3.0999999046325684,1
2823,8736,11289565,5,3076900.0,4.800000190734863,36,1,4.0,0,0,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9114,3.0999999046325684,1
2824,8737,11289565,5,3636400.0,4.800000190734863,36,1,4.0,0,0,7VC2,0.03319999948143959,5.277699947357178,1.100000023841858,0.0,4.800000190734863,0.0,9115,3.299999952316284,1
2825,8744,11289564,0,4705900.0,0.5,37,2,2.0,0,1,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9296,1.7999999523162842,1
2826,8745,11289564,0,4705900.0,1.0,68,2,2.0,0,1,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9297,1.5,1
2827,8746,11289564,0,4705900.0,1.5,82,2,2.0,0,1,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9298,1.2999999523162842,1
2828,8747,11289564,0,4705900.0,2.0,91,2,2.0,0,1,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9299,1.399999976158142,1
2829,8748,11289564,0,4705900.0,3.0,103,2,2.0,0,1,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9300,1.2999999523162842,1
2830,8749,11289564,0,4705900.0,4.0,111,2,2.0,0,1,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9301,1.5,1
2831,8750,11289564,0,4705900.0,6.0,116,2,2.0,0,1,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9302,1.5,1
2832,8751,11289564,0,4705900.0,8.0,122,2,2.0,0,1,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9303,1.5,1
2833,8752,11289564,0,5333300.0,0.5,37,2,1.5,0,1,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9304,1.899999976158142,1
2834,8753,11289564,0,5333300.0,1.0,68,2,1.5,0,1,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9305,1.7999999523162842,1
2835,8754,11289564,0,5333300.0,1.5,82,2,1.5,0,1,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9306,1.399999976158142,1
2836,8755,11289564,0,5333300.0,2.0,91,2,1.5,0,1,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9307,1.5,1
2837,8756,11289564,0,5333300.0,3.0,103,2,1.5,0,1,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9308,1.600000023841858,1
2838,8757,11289564,0,5333300.0,4.0,111,2,1.5,0,1,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9309,1.7000000476837158,1
2839,8758,11289564,0,5333300.0,6.0,116,2,1.5,0,1,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9310,1.7000000476837158,1
2840,8776,11289564,1,2666700.0,0.5,26,1,1.0,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9330,1.899999976158142,1
2841,8777,11289564,1,2666700.0,1.0,49,1,1.0,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9331,1.7000000476837158,1
2842,8778,11289564,1,2666700.0,1.5,56,1,1.0,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9332,1.5,1
2843,8779,11289564,1,2666700.0,2.0,65,1,1.0,0,0,9VE4,0.01360000018030405,0.9700000286102295,0.6000000238418579,0.0,2.0,0.0,9333,1.7000000476837158,1
