,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle
80,M,2,15,5,1,2,22,2.0,0,0,0,0,0.0,1,0.0
81,M,2,15,5,1,4,43,2.0,0,0,0,0,0.0,1,0.0
82,M,2,15,5,1,6,65,2.0,0,0,0,0,0.0,1,0.0
83,M,2,15,5,1,8,70,2.0,0,0,0,0,0.0,1,0.0
84,M,2,15,5,1,10,70,2.0,0,0,0,0,0.0,1,0.0
85,M,2,15,5,1,12,70,2.0,0,0,0,0,0.0,1,0.0
86,M,2,15,5,1,15,70,2.0,0,0,0,0,0.0,1,0.0
87,M,2,15,5,1,18,70,2.0,0,0,0,0,0.0,1,0.0
88,M,2,15,7,1,2,30,2.0,0,0,0,0,0.0,1,0.0
89,M,2,15,7,1,4,44,2.0,0,0,0,0,0.0,1,0.0
90,M,2,15,7,1,6,60,2.0,0,0,0,0,0.0,1,0.0
91,M,2,15,7,1,8,64,2.0,0,0,0,0,0.0,1,0.0
92,M,2,15,7,1,10,70,2.0,0,0,0,0,0.0,1,0.0
93,M,2,15,7,1,12,70,2.0,0,0,0,0,0.0,1,0.0
94,M,2,15,7,1,15,70,2.0,0,0,0,0,0.0,1,0.0
95,M,2,15,7,1,18,70,2.0,0,0,0,0,0.0,1,0.0
96,M,2,15,7,1,2,30,2.5,0,0,0,0,0.0,1,0.0
97,M,2,15,7,1,4,44,2.5,0,0,0,0,0.0,1,0.0
98,M,2,15,7,1,6,60,2.5,0,0,0,0,0.0,1,0.0
99,M,2,15,7,1,8,64,2.5,0,0,0,0,0.0,1,0.0
100,M,2,15,7,1,10,70,2.5,0,0,0,0,0.0,1,0.0
101,M,2,15,7,1,12,70,2.5,0,0,0,0,0.0,1,0.0
102,M,2,15,7,1,15,70,2.5,0,0,0,0,0.0,1,0.0
103,M,2,15,7,1,18,70,2.5,0,0,0,0,0.0,1,0.0
