,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle,isDuplicate,groupIndex,probeId,probeName,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,numMeasVoltage,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,profTxVoltageVolt,zMeasNum,zt_est
10,B,3,1,3,1,6,65,2.0,1,0,0,0,,1,,0,2,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1333300,56.04,75.0,5.3
11,B,3,1,3,1,8,87,2.0,1,0,0,0,,1,,0,2,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1333300,56.04,115.0,5.0
12,B,3,1,3,1,10,96,2.0,1,0,0,0,,1,,0,2,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1333300,56.04,135.0,5.0
13,B,3,1,3,1,12,96,2.0,1,0,0,0,,1,,0,2,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1333300,56.04,135.0,5.0
14,B,3,1,3,1,15,96,2.0,1,0,0,0,,1,,0,2,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1333300,56.04,135.0,4.8
15,B,3,1,3,1,18,96,2.0,1,0,0,0,,1,,0,2,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1333300,56.04,135.0,5.0
16,B,3,1,3,1,2,22,2.0,1,0,0,0,,1,,0,3,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1333300,56.04,45.0,4.6
17,B,3,1,3,1,4,44,2.0,1,0,0,0,,1,,0,3,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1333300,56.04,75.0,4.9
18,B,3,1,3,1,6,65,2.0,1,0,0,0,,1,,0,3,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1333300,56.04,75.0,5.3
19,B,3,1,3,1,8,88,2.0,1,0,0,0,,1,,0,3,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1333300,56.04,115.0,5.0
20,B,3,1,3,1,10,97,2.0,1,0,0,0,,1,,0,3,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1333300,56.04,135.0,5.0
21,B,3,1,3,1,12,97,2.0,1,0,0,0,,1,,0,3,11014154,5P1,90,90,20,0.5,0,2024-06-26,Beamstyle_5P1_Intensity,10,1,0,1333300,56.04,135.0,5.0
