,index,PROBENAME,MODE,SUBMODEINDEX,BEAMSTYLEINDEX,SYSTXFREQINDEX,TXPGWAVEFORMSTYLE,TXFOCUSLOCCM,NUMTXELEMENTS,PROBENUMTXCYCLES,ISTXCHANNELMODULATIONEN,ISPRESETCPAEN,CPADELAYOFFSETCLK,TXPULSERLE,TXPGWAVEFORMLUT,ELEVAPERINDEX,SYSTEMPULSERSEL,VTXINDEX
26,16,14L5,B,0,0,28,2,0.25,6,1.5,1,0,0,0,0.0,0,0,1
27,17,14L5,B,0,0,28,2,0.5,13,1.5,1,0,0,0,0.0,0,0,1
28,18,14L5,B,0,0,28,2,0.75,19,1.5,1,0,0,0,0.0,0,0,1
29,104,14L5,B,0,0,28,2,0.5,8,1.5,1,0,0,0,0.0,1,0,1
30,105,14L5,B,0,0,28,2,1.0,17,1.5,1,0,0,0,0.0,1,0,1
31,19,14L5,B,0,0,28,2,1.0,25,1.5,1,0,0,0,0.0,1,0,1
32,106,14L5,B,0,0,28,2,1.5,25,1.5,1,0,0,0,0.0,1,0,1
33,20,14L5,B,0,0,28,2,1.5,38,1.5,1,0,0,0,0.0,1,0,1
34,107,14L5,B,0,0,28,2,2.0,33,1.5,1,0,0,0,0.0,1,0,1
35,21,14L5,B,0,0,28,2,2.25,56,1.5,1,0,0,0,0.0,1,0,1
36,108,14L5,B,0,0,28,2,2.5,42,1.5,1,0,0,0,0.0,1,0,1
37,109,14L5,B,0,0,28,2,3.0,50,1.5,1,0,0,0,0.0,1,0,1
38,110,14L5,B,0,0,28,2,3.5,58,1.5,1,0,0,0,0.0,1,0,1
39,22,14L5,B,0,0,28,2,3.5,88,1.5,1,0,0,0,0.0,1,0,1
40,111,14L5,B,0,0,28,2,4.0,67,1.5,1,0,0,0,0.0,1,0,1
41,23,14L5,B,0,0,28,2,5.25,131,1.5,1,0,0,0,0.0,1,0,1
42,154,14L5,B,0,0,28,2,7.0,175,1.5,1,0,0,0,0.0,1,0,1
43,24,14L5,B,0,0,28,2,0.25,6,2.0,1,0,0,0,0.0,0,0,1
44,25,14L5,B,0,0,28,2,0.5,13,2.0,1,0,0,0,0.0,0,0,1
45,26,14L5,B,0,0,28,2,0.75,19,2.0,1,0,0,0,0.0,0,0,1
46,27,14L5,B,0,0,28,2,1.0,25,2.0,1,0,0,0,0.0,1,0,1
47,28,14L5,B,0,0,28,2,1.5,38,2.0,1,0,0,0,0.0,1,0,1
48,29,14L5,B,0,0,28,2,2.25,56,2.0,1,0,0,0,0.0,1,0,1
49,30,14L5,B,0,0,28,2,3.5,88,2.0,1,0,0,0,0.0,1,0,1
50,31,14L5,B,0,0,28,2,5.25,131,2.0,1,0,0,0,0.0,1,0,1
51,155,14L5,B,0,0,28,2,7.0,175,2.0,1,0,0,0,0.0,1,0,1
52,32,14L5,B,0,0,30,2,0.25,6,1.5,1,0,0,0,0.0,0,0,1
53,33,14L5,B,0,0,30,2,0.5,13,1.5,1,0,0,0,0.0,0,0,1
54,34,14L5,B,0,0,30,2,0.75,19,1.5,1,0,0,0,0.0,0,0,1
55,112,14L5,B,0,0,30,2,0.5,8,1.5,1,0,0,0,0.0,1,0,1
56,113,14L5,B,0,0,30,2,1.0,17,1.5,1,0,0,0,0.0,1,0,1
57,35,14L5,B,0,0,30,2,1.0,25,1.5,1,0,0,0,0.0,1,0,1
58,114,14L5,B,0,0,30,2,1.5,25,1.5,1,0,0,0,0.0,1,0,1
59,36,14L5,B,0,0,30,2,1.5,38,1.5,1,0,0,0,0.0,1,0,1
60,115,14L5,B,0,0,30,2,2.0,33,1.5,1,0,0,0,0.0,1,0,1
61,37,14L5,B,0,0,30,2,2.25,56,1.5,1,0,0,0,0.0,1,0,1
62,116,14L5,B,0,0,30,2,2.5,42,1.5,1,0,0,0,0.0,1,0,1
63,117,14L5,B,0,0,30,2,3.0,50,1.5,1,0,0,0,0.0,1,0,1
64,118,14L5,B,0,0,30,2,3.5,58,1.5,1,0,0,0,0.0,1,0,1
65,38,14L5,B,0,0,30,2,3.5,88,1.5,1,0,0,0,0.0,1,0,1
66,119,14L5,B,0,0,30,2,4.0,67,1.5,1,0,0,0,0.0,1,0,1
67,39,14L5,B,0,0,30,2,5.25,131,1.5,1,0,0,0,0.0,1,0,1
68,156,14L5,B,0,0,30,2,7.0,175,1.5,1,0,0,0,0.0,1,0,1
69,40,14L5,B,0,0,31,2,0.25,6,1.0,1,0,0,0,0.0,0,0,1
70,41,14L5,B,0,0,31,2,0.5,13,1.0,1,0,0,0,0.0,0,0,1
71,42,14L5,B,0,0,31,2,0.75,19,1.0,1,0,0,0,0.0,0,0,1
72,43,14L5,B,0,0,31,2,1.0,25,1.0,1,0,0,0,0.0,1,0,1
73,44,14L5,B,0,0,31,2,1.5,38,1.0,1,0,0,0,0.0,1,0,1
74,45,14L5,B,0,0,31,2,2.25,56,1.0,1,0,0,0,0.0,1,0,1
75,46,14L5,B,0,0,31,2,3.5,88,1.0,1,0,0,0,0.0,1,0,1
76,47,14L5,B,0,0,31,2,5.25,131,1.0,1,0,0,0,0.0,1,0,1
77,157,14L5,B,0,0,31,2,7.0,175,1.0,1,0,0,0,0.0,1,0,1
78,120,14L5,B,1,1,14,0,0.5,6,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
79,121,14L5,B,1,1,14,0,1.0,13,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
80,122,14L5,B,1,1,14,0,1.5,19,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
81,123,14L5,B,1,1,14,0,2.0,25,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
82,124,14L5,B,1,1,14,0,2.5,31,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
83,125,14L5,B,1,1,14,0,3.0,38,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
84,126,14L5,B,1,1,14,0,3.5,44,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
85,127,14L5,B,1,1,14,0,4.0,50,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
86,128,14L5,B,1,1,17,0,0.5,6,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
87,129,14L5,B,1,1,17,0,1.0,13,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
88,130,14L5,B,1,1,17,0,1.5,19,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
89,131,14L5,B,1,1,17,0,2.0,25,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
90,132,14L5,B,1,1,17,0,2.5,31,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
91,133,14L5,B,1,1,17,0,3.0,38,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
92,134,14L5,B,1,1,17,0,3.5,44,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
93,135,14L5,B,1,1,17,0,4.0,50,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
94,136,14L5,B,1,1,20,0,0.5,6,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
95,137,14L5,B,1,1,20,0,1.0,13,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
96,138,14L5,B,1,1,20,0,1.5,19,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
97,139,14L5,B,1,1,20,0,2.0,25,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
98,140,14L5,B,1,1,20,0,2.5,31,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
99,141,14L5,B,1,1,20,0,3.0,38,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
100,142,14L5,B,1,1,20,0,3.5,44,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
101,143,14L5,B,1,1,20,0,4.0,50,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
102,144,14L5,B,1,1,23,0,0.5,6,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
103,145,14L5,B,1,1,23,0,1.0,13,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
104,146,14L5,B,1,1,23,0,1.5,19,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
105,147,14L5,B,1,1,23,0,2.0,25,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
106,148,14L5,B,1,1,23,0,2.5,31,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
107,149,14L5,B,1,1,23,0,3.0,38,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
108,150,14L5,B,1,1,23,0,3.5,44,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
109,151,14L5,B,1,1,23,0,4.0,50,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1
110,48,14L5,B,1,1,17,0,0.25,6,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,0,0,1
111,49,14L5,B,1,1,17,0,0.5,13,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,0,0,1
112,50,14L5,B,1,1,17,0,0.75,19,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,0,0,1
113,51,14L5,B,1,1,17,0,1.0,25,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
114,52,14L5,B,1,1,17,0,1.5,38,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
115,53,14L5,B,1,1,17,0,2.25,56,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
116,54,14L5,B,1,1,17,0,3.5,88,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
117,55,14L5,B,1,1,17,0,5.25,131,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
118,158,14L5,B,1,1,17,0,7.0,175,1.0,1,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1
119,56,14L5,B,1,1,17,0,0.25,6,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,0,0,1
120,57,14L5,B,1,1,17,0,0.5,13,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,0,0,1
121,58,14L5,B,1,1,17,0,0.75,19,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,0,0,1
122,59,14L5,B,1,1,17,0,1.0,25,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1
123,60,14L5,B,1,1,17,0,1.5,38,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1
124,61,14L5,B,1,1,17,0,2.25,56,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1
125,62,14L5,B,1,1,17,0,3.5,88,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1
126,63,14L5,B,1,1,17,0,5.25,131,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1
127,159,14L5,B,1,1,17,0,7.0,175,1.3,1,0,0,1.30:0.20:-1.30:0.20:1.30,0.0,1,0,1
128,64,14L5,B,1,1,20,0,0.25,6,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,0,0,1
129,65,14L5,B,1,1,20,0,0.5,13,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,0,0,1
130,66,14L5,B,1,1,20,0,0.75,19,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,0,0,1
131,67,14L5,B,1,1,20,0,1.0,25,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1
132,68,14L5,B,1,1,20,0,1.5,38,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1
133,69,14L5,B,1,1,20,0,2.25,56,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1
134,70,14L5,B,1,1,20,0,3.5,88,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1
135,71,14L5,B,1,1,20,0,5.25,131,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1
136,160,14L5,B,1,1,20,0,7.0,175,1.0,1,0,0,1.2942:0.2058:-1.2942:0.2058,0.0,1,0,1
137,72,14L5,B,1,1,20,0,0.25,6,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,0,0,1
138,73,14L5,B,1,1,20,0,0.5,13,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,0,0,1
139,74,14L5,B,1,1,20,0,0.75,19,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,0,0,1
140,75,14L5,B,1,1,20,0,1.0,25,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1
141,76,14L5,B,1,1,20,0,1.5,38,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1
142,77,14L5,B,1,1,20,0,2.25,56,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1
143,78,14L5,B,1,1,20,0,3.5,88,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1
144,79,14L5,B,1,1,20,0,5.25,131,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1
145,161,14L5,B,1,1,20,0,7.0,175,1.29,1,0,0,1.2942:0.2058:-1.2942:0.2058:1.2942,0.0,1,0,1
146,80,14L5,B,1,1,23,0,0.25,6,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,0,0,1
147,81,14L5,B,1,1,23,0,0.5,13,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,0,0,1
148,82,14L5,B,1,1,23,0,0.75,19,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,0,0,1
149,83,14L5,B,1,1,23,0,1.0,25,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,1,0,1
150,84,14L5,B,1,1,23,0,1.5,38,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,1,0,1
151,85,14L5,B,1,1,23,0,2.25,56,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,1,0,1
152,86,14L5,B,1,1,23,0,3.5,88,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,1,0,1
153,87,14L5,B,1,1,23,0,5.25,131,1.0,1,0,0,1.3571:0.1429:-1.3571:0.1429,0.0,1,0,1
154,88,14L5,B,1,1,23,0,0.25,6,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,0,0,1
155,89,14L5,B,1,1,23,0,0.5,13,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,0,0,1
156,90,14L5,B,1,1,23,0,0.75,19,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,0,0,1
157,91,14L5,B,1,1,23,0,1.0,25,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1
158,92,14L5,B,1,1,23,0,1.5,38,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1
159,93,14L5,B,1,1,23,0,2.25,56,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1
160,94,14L5,B,1,1,23,0,3.5,88,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1
161,95,14L5,B,1,1,23,0,5.25,131,1.36,1,0,0,1.3571:0.1429:-1.3571:0.1429:1.3571,0.0,1,0,1
162,307,14L5,Cb,5,5,22,1,0.25,4,4.0,0,0,0,0,0.0,0,0,0
163,308,14L5,Cb,5,5,22,1,0.5,8,4.0,0,0,0,0,0.0,0,0,0
164,309,14L5,Cb,5,5,22,1,0.75,13,4.0,0,0,0,0,0.0,0,0,0
165,310,14L5,Cb,5,5,22,1,1.0,17,4.0,0,0,0,0,0.0,1,0,0
166,311,14L5,Cb,5,5,22,1,1.5,25,4.0,0,0,0,0,0.0,1,0,0
167,312,14L5,Cb,5,5,22,1,2.25,38,4.0,0,0,0,0,0.0,1,0,0
168,313,14L5,Cb,5,5,22,1,3.5,58,4.0,0,0,0,0,0.0,1,0,0
169,314,14L5,Cb,5,5,22,1,5.25,88,4.0,0,0,0,0,0.0,1,0,0
170,315,14L5,Cb,5,5,24,1,0.25,4,4.0,0,0,0,0,0.0,0,0,0
171,316,14L5,Cb,5,5,24,1,0.5,8,4.0,0,0,0,0,0.0,0,0,0
172,317,14L5,Cb,5,5,24,1,0.75,13,4.0,0,0,0,0,0.0,0,0,0
173,318,14L5,Cb,5,5,24,1,1.0,17,4.0,0,0,0,0,0.0,1,0,0
174,319,14L5,Cb,5,5,24,1,1.5,25,4.0,0,0,0,0,0.0,1,0,0
175,320,14L5,Cb,5,5,24,1,2.25,38,4.0,0,0,0,0,0.0,1,0,0
176,321,14L5,Cb,5,5,24,1,3.5,58,4.0,0,0,0,0,0.0,1,0,0
177,322,14L5,Cb,5,5,24,1,5.25,88,4.0,0,0,0,0,0.0,1,0,0
178,323,14L5,Cb,5,5,26,1,0.25,4,3.0,0,0,0,0,0.0,0,0,0
179,324,14L5,Cb,5,5,26,1,0.5,8,3.0,0,0,0,0,0.0,0,0,0
180,325,14L5,Cb,5,5,26,1,0.75,13,3.0,0,0,0,0,0.0,0,0,0
181,326,14L5,Cb,5,5,26,1,1.0,17,3.0,0,0,0,0,0.0,1,0,0
182,327,14L5,Cb,5,5,26,1,1.5,25,3.0,0,0,0,0,0.0,1,0,0
183,328,14L5,Cb,5,5,26,1,2.25,38,3.0,0,0,0,0,0.0,1,0,0
184,329,14L5,Cb,5,5,26,1,3.5,58,3.0,0,0,0,0,0.0,1,0,0
185,330,14L5,Cb,5,5,26,1,5.25,88,3.0,0,0,0,0,0.0,1,0,0
186,403,14L5,Cb,5,5,26,1,0.5,8,4.0,0,0,0,0,0.0,0,0,0
187,404,14L5,Cb,5,5,26,1,0.75,13,4.0,0,0,0,0,0.0,0,0,0
188,405,14L5,Cb,5,5,26,1,1.0,17,4.0,0,0,0,0,0.0,1,0,0
189,406,14L5,Cb,5,5,26,1,1.5,25,4.0,0,0,0,0,0.0,1,0,0
190,407,14L5,Cb,5,5,26,1,2.25,38,4.0,0,0,0,0,0.0,1,0,0
191,408,14L5,Cb,5,5,26,1,3.5,58,4.0,0,0,0,0,0.0,1,0,0
192,409,14L5,Cb,5,5,26,1,5.25,88,4.0,0,0,0,0,0.0,1,0,0
193,410,14L5,Cb,5,5,26,1,7.0,117,4.0,0,0,0,0,0.0,1,0,0
194,331,14L5,Cb,5,5,28,1,0.25,4,3.0,0,0,0,0,0.0,0,0,0
195,332,14L5,Cb,5,5,28,1,0.5,8,3.0,0,0,0,0,0.0,0,0,0
196,333,14L5,Cb,5,5,28,1,0.75,13,3.0,0,0,0,0,0.0,0,0,0
197,334,14L5,Cb,5,5,28,1,1.0,17,3.0,0,0,0,0,0.0,1,0,0
198,335,14L5,Cb,5,5,28,1,1.5,25,3.0,0,0,0,0,0.0,1,0,0
199,336,14L5,Cb,5,5,28,1,2.25,38,3.0,0,0,0,0,0.0,1,0,0
200,337,14L5,Cb,5,5,28,1,3.5,58,3.0,0,0,0,0,0.0,1,0,0
201,338,14L5,Cb,5,5,28,1,5.25,88,3.0,0,0,0,0,0.0,1,0,0
202,411,14L5,Cb,5,5,28,1,0.5,8,4.0,0,0,0,0,0.0,0,0,0
203,412,14L5,Cb,5,5,28,1,0.75,13,4.0,0,0,0,0,0.0,0,0,0
204,413,14L5,Cb,5,5,28,1,1.0,17,4.0,0,0,0,0,0.0,1,0,0
205,414,14L5,Cb,5,5,28,1,1.5,25,4.0,0,0,0,0,0.0,1,0,0
206,415,14L5,Cb,5,5,28,1,2.25,38,4.0,0,0,0,0,0.0,1,0,0
207,416,14L5,Cb,5,5,28,1,3.5,58,4.0,0,0,0,0,0.0,1,0,0
208,417,14L5,Cb,5,5,28,1,5.25,88,4.0,0,0,0,0,0.0,1,0,0
209,418,14L5,Cb,5,5,28,1,7.0,117,4.0,0,0,0,0,0.0,1,0,0
210,451,14L5,D,10,10,22,1,0.25,3,4.0,1,0,0,0,0.0,0,0,0
211,452,14L5,D,10,10,22,1,0.5,6,4.0,1,0,0,0,0.0,0,0,0
212,453,14L5,D,10,10,22,1,0.75,9,4.0,1,0,0,0,0.0,0,0,0
213,454,14L5,D,10,10,22,1,1.0,13,4.0,1,0,0,0,0.0,1,0,0
214,455,14L5,D,10,10,22,1,1.5,19,4.0,1,0,0,0,0.0,1,0,0
215,456,14L5,D,10,10,22,1,2.25,28,4.0,1,0,0,0,0.0,1,0,0
216,457,14L5,D,10,10,22,1,3.5,44,4.0,1,0,0,0,0.0,1,0,0
217,458,14L5,D,10,10,22,1,5.25,66,4.0,1,0,0,0,0.0,1,0,0
218,459,14L5,D,10,10,24,1,0.25,3,4.0,1,0,0,0,0.0,0,0,0
219,460,14L5,D,10,10,24,1,0.5,6,4.0,1,0,0,0,0.0,0,0,0
220,461,14L5,D,10,10,24,1,0.75,9,4.0,1,0,0,0,0.0,0,0,0
221,462,14L5,D,10,10,24,1,1.0,13,4.0,1,0,0,0,0.0,1,0,0
222,463,14L5,D,10,10,24,1,1.5,19,4.0,1,0,0,0,0.0,1,0,0
223,464,14L5,D,10,10,24,1,2.25,28,4.0,1,0,0,0,0.0,1,0,0
224,465,14L5,D,10,10,24,1,3.5,44,4.0,1,0,0,0,0.0,1,0,0
225,466,14L5,D,10,10,24,1,5.25,66,4.0,1,0,0,0,0.0,1,0,0
