,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle,isDuplicate,groupIndex,probeId,probeName,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,numMeasVoltage,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,profTxVoltageVolt,zMeasNum,zt_est
23,B,1,1,16,1,8.0,46,1.5,0,0,0,0,,1,,1,3,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3809500,56.04,115.0,2.0
24,B,1,1,17,1,0.5,5,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,45.0,2.1
25,B,1,1,17,1,1.0,10,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,45.0,2.1
26,B,1,1,17,1,1.5,16,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,45.0,2.0
27,B,1,1,17,1,2.0,21,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,45.0,2.0
28,B,1,1,17,1,3.0,39,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,45.0,2.0
29,B,1,1,17,1,4.0,42,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,75.0,2.0
30,B,1,1,17,1,6.0,44,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,75.0,2.0
31,B,1,1,17,1,8.0,46,1.5,0,0,0,0,,1,,1,4,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,4000000,56.04,115.0,2.0
32,B,1,1,15,1,0.5,5,2.0,0,0,0,0,,1,,1,5,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,45.0,1.9
33,B,1,1,15,1,1.0,9,2.0,0,0,0,0,,1,,1,5,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,45.0,1.9
34,B,1,1,15,1,1.5,14,2.0,0,0,0,0,,1,,1,5,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,45.0,2.0
35,B,1,1,15,1,2.0,19,2.0,0,0,0,0,,1,,1,5,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,45.0,1.9
36,B,1,1,15,1,3.0,32,2.0,0,0,0,0,,1,,1,5,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,45.0,1.9
37,B,1,1,15,1,4.0,42,2.0,0,0,0,0,,1,,1,5,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,75.0,1.9
38,B,1,1,15,1,6.0,44,2.0,0,0,0,0,,1,,1,5,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,75.0,1.9
39,B,1,1,15,1,8.0,46,2.0,0,0,0,0,,1,,1,5,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,115.0,1.9
40,B,1,1,15,1,0.5,8,2.0,1,0,0,0,,1,,1,6,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,45.0,1.9
41,B,1,1,15,1,1.0,17,2.0,1,0,0,0,,1,,1,6,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,45.0,1.9
42,B,1,1,15,1,1.5,25,2.0,1,0,0,0,,1,,1,6,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,45.0,1.9
43,B,1,1,15,1,2.0,34,2.0,1,0,0,0,,1,,1,6,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,45.0,1.9
44,B,1,1,15,1,3.0,54,2.0,1,0,0,0,,1,,1,6,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,45.0,1.9
45,B,1,1,15,1,4.0,60,2.0,1,0,0,0,,1,,1,6,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,75.0,2.0
46,B,1,1,15,1,6.0,64,2.0,1,0,0,0,,1,,1,6,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,75.0,2.0
47,B,1,1,15,1,8.0,66,2.0,1,0,0,0,,1,,1,6,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3636400,56.04,115.0,2.0
48,B,1,1,16,1,0.5,5,1.5,0,0,0,0,,1,,1,7,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3809500,56.04,45.0,2.0
49,B,1,1,16,1,1.0,9,1.5,0,0,0,0,,1,,1,7,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3809500,56.04,45.0,2.0
50,B,1,1,16,1,1.5,14,1.5,0,0,0,0,,1,,1,7,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,1,20,3809500,56.04,45.0,1.9
