,Mode,SubModeIndex,BeamStyleIndex,SysTxFreqIndex,TxpgWaveformStyle,TxFocusLocCm,NumTxElements,ProbeNumTxCycles,IsTxChannelModulationEn,IsPresetCpaEn,CpaDelayOffsetClk,ElevAperIndex,SystemPulserSel,VTxIndex,TxPulseRle,isDuplicate,groupIndex,probeId,probeName,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,numMeasVoltage,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,profTxVoltageVolt,zMeasNum,zt_est
0,M,1,20,15,1,0.5,8,2,0,0,0,0,,1,,0,1,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,20,0,3636400,56.04,45.0,2.0
1,M,1,20,15,1,1.0,17,2,0,0,0,0,,1,,0,1,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,20,0,3636400,56.04,45.0,2.0
2,M,1,20,15,1,1.5,25,2,0,0,0,0,,1,,0,1,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,20,0,3636400,56.04,45.0,2.0
3,M,1,20,15,1,2.0,34,2,0,0,0,0,,1,,0,1,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,20,0,3636400,56.04,45.0,1.9
4,M,1,20,15,1,3.0,54,2,0,0,0,0,,1,,0,1,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,20,0,3636400,56.04,45.0,2.0
5,M,1,20,15,1,4.0,60,2,0,0,0,0,,1,,0,1,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,20,0,3636400,56.04,75.0,1.9
6,M,1,20,15,1,6.0,64,2,0,0,0,0,,1,,0,1,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,20,0,3636400,56.04,75.0,2.0
7,M,1,20,15,1,8.0,66,2,0,0,0,0,,1,,0,1,11712408,BPXCC,90,90,20,0.5,0,2024-06-26,Beamstyle_BPXCC_Intensity,10,20,0,3636400,56.04,115.0,2.0
