,level_0,index,PROBENAME,MODE,SUBMODEINDEX,BEAMSTYLEINDEX,SYSTXFREQINDEX,TXPGWAVEFORMSTYLE,TXFOCUSLOCCM,NUMTXELEMENTS,PROBENUMTXCYCLES,ISTXCHANNELMODULATIONEN,ISPRESETCPAEN,CPADELAYOFFSETCLK,TXPULSERLE,TXPGWAVEFORMLUT,ELEVAPERINDEX,SYSTEMPULSERSEL,VTXINDEX,probeId,probeName,maxTxVoltageVolt,ceilTxVoltageVolt,totalVoltagePt,numMeasVoltage,zStartDistCm,DTxFreqIndex,dumpSwVersion,measSetComments,Count,OrgBeamstyleIdx,bsIndexTrace,TxFrequencyHz,ProbeNumTxCycles,profTxVoltageVolt,zMeasNum,zt_est
66,198,14,14L5,B,0,0,25,2,3.5,88,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,2.0,56.04,75.0,1.1
67,199,15,14L5,B,0,0,25,2,5.25,131,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,2.0,56.04,75.0,1.3
68,200,153,14L5,B,0,0,25,2,7.0,175,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,6666700,2.0,56.04,115.0,1.5
69,201,24,14L5,B,0,0,28,2,0.25,6,2.0,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,2.0,56.04,45.0,0.5
70,202,25,14L5,B,0,0,28,2,0.5,13,2.0,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,2.0,56.04,45.0,0.5
71,203,26,14L5,B,0,0,28,2,0.75,19,2.0,1,0,0,0,0.0,0,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,2.0,56.04,45.0,0.5
72,204,27,14L5,B,0,0,28,2,1.0,25,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,2.0,56.04,45.0,0.7
73,205,28,14L5,B,0,0,28,2,1.5,38,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,2.0,56.04,45.0,0.8
74,206,29,14L5,B,0,0,28,2,2.25,56,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,2.0,56.04,45.0,0.9
75,207,30,14L5,B,0,0,28,2,3.5,88,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,2.0,56.04,75.0,1.1
76,208,31,14L5,B,0,0,28,2,5.25,131,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,2.0,56.04,75.0,1.3
77,209,155,14L5,B,0,0,28,2,7.0,175,2.0,1,0,0,0,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,0,15,8888900,2.0,56.04,115.0,1.5
78,0,120,14L5,B,1,1,14,0,0.5,6,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,3333300,1.0,56.04,45.0,0.6
79,1,121,14L5,B,1,1,14,0,1.0,13,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,3333300,1.0,56.04,45.0,0.6
80,2,122,14L5,B,1,1,14,0,1.5,19,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,3333300,1.0,56.04,45.0,0.6
81,3,123,14L5,B,1,1,14,0,2.0,25,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,3333300,1.0,56.04,45.0,0.8
82,4,124,14L5,B,1,1,14,0,2.5,31,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,3333300,1.0,56.04,45.0,1.0
83,5,125,14L5,B,1,1,14,0,3.0,38,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,3333300,1.0,56.04,45.0,0.9
84,6,126,14L5,B,1,1,14,0,3.5,44,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,3333300,1.0,56.04,75.0,1.1
85,7,127,14L5,B,1,1,14,0,4.0,50,1.0,0,0,0,1.30:0.20:-1.30:0.20,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,3333300,1.0,56.04,75.0,1.0
86,8,128,14L5,B,1,1,17,0,0.5,6,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,4000000,1.0,56.04,45.0,0.6
87,9,129,14L5,B,1,1,17,0,1.0,13,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,4000000,1.0,56.04,45.0,0.6
88,10,130,14L5,B,1,1,17,0,1.5,19,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,4000000,1.0,56.04,45.0,0.6
89,11,131,14L5,B,1,1,17,0,2.0,25,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,4000000,1.0,56.04,45.0,0.8
90,12,132,14L5,B,1,1,17,0,2.5,31,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,4000000,1.0,56.04,45.0,1.0
91,13,133,14L5,B,1,1,17,0,3.0,38,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,4000000,1.0,56.04,45.0,0.9
92,14,134,14L5,B,1,1,17,0,3.5,44,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,4000000,1.0,56.04,75.0,1.1
93,15,135,14L5,B,1,1,17,0,4.0,50,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,4000000,1.0,56.04,75.0,1.0
94,16,136,14L5,B,1,1,20,0,0.5,6,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,4705900,1.0,56.04,45.0,0.6
95,17,137,14L5,B,1,1,20,0,1.0,13,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,4705900,1.0,56.04,45.0,0.6
96,18,138,14L5,B,1,1,20,0,1.5,19,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,4705900,1.0,56.04,45.0,0.6
97,19,139,14L5,B,1,1,20,0,2.0,25,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,4705900,1.0,56.04,45.0,0.8
98,20,140,14L5,B,1,1,20,0,2.5,31,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,4705900,1.0,56.04,45.0,1.0
99,21,141,14L5,B,1,1,20,0,3.0,38,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,4705900,1.0,56.04,45.0,0.9
100,22,142,14L5,B,1,1,20,0,3.5,44,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,4705900,1.0,56.04,75.0,1.1
101,23,143,14L5,B,1,1,20,0,4.0,50,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,4705900,1.0,56.04,75.0,1.0
102,24,144,14L5,B,1,1,23,0,0.5,6,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,5714300,1.0,56.04,45.0,0.6
103,25,145,14L5,B,1,1,23,0,1.0,13,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,5714300,1.0,56.04,45.0,0.6
104,26,146,14L5,B,1,1,23,0,1.5,19,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,5714300,1.0,56.04,45.0,0.6
105,27,147,14L5,B,1,1,23,0,2.0,25,1.0,0,0,0,1.25:0.25:-1.25:0.25,0.0,1,0,1,11254090,14L5,90,90,20,8,0.5,0,R2.5,Beamstyle_14L5_Intensity,2,1,20,5714300,1.0,56.04,45.0,0.8
